"","X","Classroom.ID","week","Usage.Week","Active.Users...Total","Minutes.per.Active.User","Badges.per.Active.User","Boosts.per.Tower.Completion","Tower.Alerts.per.Tower.Completion","Teacher.User.ID","teacher_number_classes","year","Grade.Level","MDR.School.ID","Students...Total","District.Rollup.ID","poverty","income","charter.school","school.account","zipcode","tch_min","User.Session","RD.elementary_schedule","RD.whole_group_fluency","RD.mission_overview","Guided.Practice.Completed","RD.small_group_lessons","Tower.Completed","Fluency.Completed","Number.Gym.Activity.Completed","RD.grade_level_overview","Tower.Stage.Failed","RD.optional_problem_sets","RD.student_notes_and_exit_tickets","Kindergarten.Activity.Completed","Tower.Struggled","RD.k_mission","RD.whole_group_word_problems","RD.assessments","RD.teaching_and_learning_approach","RD.optional_homework","RD.k_schedule","RD.curriculum_map","RD.assessments_answer_key","RD.pd_course_notes","RD.pd_course_guide","min_week","mean_act_st","Tsubj","st_login","tch_login","n_weeks","set","PCA1","PCA2","PCA3","FrobeniusNNDSVD1","FrobeniusNNDSVD2","FrobeniusNNDSVD3","FrobeniusNNDSVDA1","FrobeniusNNDSVDA2","FrobeniusNNDSVDA3","Kullback.Leibler1","Kullback.Leibler2","Kullback.Leibler3","Autoencoder1","Autoencoder2","Autoencoder3","state","FrobeniusNNDSVD1bin","FrobeniusNNDSVD2bin","FrobeniusNNDSVD3bin","FrobeniusNNDSVDA1bin","FrobeniusNNDSVDA2bin","FrobeniusNNDSVDA3bin","Kullback.Leibler1bin","Kullback.Leibler2bin","Kullback.Leibler3bin","row_n"
"1",190,3039,3,"2019-09-02",14,3.35689712276558,0.27296956715734,2.9,0.53062825106217,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,3.32862668882732,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",0.00714253168754128,-0.0713068772085803,-0.0522681527113339,0.0370753514605691,0,0,0.0335054248066723,1.7521277282583e-12,0.000287534077589194,0.0255174032714517,2.34440688725222e-87,1.74704254589512e-50,-0.0335594117641449,-0.0281050503253937,0.125004157423973,NA,1,0,0,1,1,0,1,1,0,1
"2",191,3039,4,"2019-09-09",14,3.95124371858143,0.406362804965504,3,0.470003629245736,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,1.02961941718116,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.278099675458182,0.016347431823341,-0.0625553010330111,0.0149522973300391,0.000773173008255742,0,0.013570342845655,0.00023389238488269,2.49667764635665e-09,0.0111866905753335,2.87942456129309e-80,1.3388000282317e-56,0.025790348649025,0.0506007224321365,0.325336277484894,2,0,1,0,0,1,0,0,1,0,2
"3",192,3039,5,"2019-09-16",15,4.62301010411642,0.494668303692545,3.6,0.470003629245736,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,2.82137888640921,2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.000715728419404696,-0.0570934303956865,-0.106290362787076,0.0359220562581808,0.000826510733375812,0,0.0325467497196164,2.05689456707132e-07,1.64089525305221e-06,0.0258711459036666,3.87381404395202e-83,1.15744768127188e-53,-0.0403477251529694,-0.0342193096876144,0.14054374396801,2,1,1,0,1,1,0,1,1,0,3
"4",193,3039,6,"2019-09-23",15,4.54329478227,0.452803411003319,6.4,0.8754687373539,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,2.00148000021012,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.123337211659603,-0.0238882717654545,-0.0903252514449626,0.0266167776204471,0.000876392535027492,0,0.0241334235347938,3.27392030471396e-06,1.94364364476932e-07,0.0194265976550323,4.44191590726755e-82,1.17551983824611e-54,-0.00989311933517456,0.00431697070598602,0.214878782629967,1,1,1,0,1,1,0,1,1,0,4
"5",194,3039,7,"2019-09-30",15,4.65965837127216,0.481166120994204,7.5,1.09861228866811,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,3.8416005411316,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.00163696150426133,-0.0841239211731057,0.0180807312828938,0.03619085382656,0,0.00329536657079632,0.0332258730881252,4.83550065536505e-21,0.00337643372501148,0.0240919937870442,7.87833189361502e-95,6.01039665721396e-48,-0.0236630737781525,-0.0176357924938202,0.11340968310833,1,1,0,1,1,0,1,1,0,1,5
"6",195,3039,8,"2019-10-07",13,4.83707524297087,0.692888357469438,2.6,0.336472236621213,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,0.405465108108164,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.38147633640099,0.0425586877071893,-0.0409770417531806,0.00719251610151459,0.000638175596802947,0,0.00653203757176604,0.000562101615340018,1.7603167910585e-13,0.00564049228301445,2.71992843254776e-77,1.07301561067566e-60,0.0533439069986343,0.087637647986412,0.418935179710388,2,0,1,0,0,1,0,0,1,0,6
"7",196,3039,9,"2019-10-14",15,4.47392189937814,0.452803411003319,3.2,0.405465108108164,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,1.22377543162212,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.199798007877236,0.00389890986675484,-0.112626614064634,0.0204764266920596,0.00161092838158475,0,0.0185886179415498,0.00138788516104996,5.1987837811412e-12,0.0158574011261946,4.73602793736045e-78,1.65671072612986e-59,-0.00384017825126648,0.0153002440929413,0.275923669338226,1,0,1,0,0,1,0,1,1,0,7
"8",197,3039,10,"2019-10-21",15,4.46014441393783,0.532778834292323,2.3,0.336472236621213,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,0.993251773010283,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.222462170075054,0.0121354601341634,-0.119237082757713,0.0186563317378248,0.00182865616353329,0,0.0169496429986117,0.00163204692680413,2.6090583649621e-14,0.0147994360899005,1.15424191361437e-76,9.76738358111324e-62,-0.00303877890110016,0.0174096077680588,0.292559325695038,2,0,1,0,0,1,0,0,1,0,8
"9",198,3039,11,"2019-10-28",15,4.44382703557933,0.556411749109095,2.5,0.405465108108164,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,3.62966009445396,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.0224740967844546,-0.0765513442269069,0.0120031525389312,0.034642750599391,0,0.0028578954060054,0.0317628424281353,3.46977844910698e-20,0.00288770815822573,0.0231193145240491,4.32021310706796e-94,1.87282250632246e-48,-0.0194264650344849,-0.0121191293001175,0.125156447291374,1,1,0,1,1,0,1,1,0,0,9
"10",199,3039,12,"2019-11-04",13,4.22097721315547,0.544759430277956,1.3,0.0953101798043249,68760,3,2019,"4th",410182,15,410027,"75%+ (High)","$45K-47,999",0,1,71203,0.0953101798043249,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2692307692308,35,1,1,26,"train",-0.471182552280321,0.0591518206366786,0.00576790038384802,0.000696186118554142,0,0.000196731940642032,0.000659225236456114,1.54767174465178e-60,0.000204154462990096,0.000437416438916023,4.79292782191894e-133,8.49085726817397e-43,0.0882939994335175,0.131416782736778,0.495124459266663,2,0,0,0,0,0,0,0,0,1,10
