Classroom ID,Grade Level,MDR School ID,Students - Total
827522,5,12364507,35
401976,2,00406193,25
369702,5,00399526,26
526444,4,00410170,51
380373,1,11128037,43
769692,6,12042814,27
786069,0,00405802,25
578593,0,11452448,33
685938,3,00406674,16
742542,8,04753170,15
774503,1,00410118,23
571307,3,00415015,21
234369,4,03243598,37
542163,3,00401258,15
780301,-1,00401765,3
319625,0,11074773,23
753219,0,00398998,17
576882,1,00414956,15
552937,4,00407343,24
609352,5,12238659,20
369299,0,00415417,21
276927,3,11128037,29
393440,4,00398376,65
171253,1,03054828,16
620340,2,03007069,22
811431,1,00398077,27
657042,8,00403660,19
401169,4,00397918,27
417849,5,00413160,25
405104,4,00402109,22
584038,2,12044745,24
621979,5,00410120,19
423366,7,00404951,21
595770,2,00398730,3
583094,2,00415924,21
467021,3,11450282,17
450807,5,00411849,20
594036,4,00400058,23
776321,5,00403749,21
578111,4,00407381,22
626230,1,00404949,21
618794,3,00416021,19
700027,1,03420124,24
602103,5,11128025,3
600719,3,00413598,19
584103,8,00398948,17
420273,3,00399667,1
577353,3,00412910,21
325167,1,11563346,15
591695,0,12106006,19
421163,1,02105424,17
614620,4,12306232,24
440770,3,00404688,22
789734,4,00404236,21
652358,8,00397748,14
738835,0,00403751,14
771694,0,11715458,20
775175,4,00410120,17
592773,5,12106006,25
591682,5,11073793,25
699481,2,02222876,22
582952,5,00415924,26
285896,1,00414085,24
464527,3,02105436,18
437505,3,00403115,19
753348,0,02226509,25
750309,3,00412271,14
600286,4,12037912,16
192904,1,00397700,18
396494,2,12112990,26
577391,1,00413079,22
479149,1,02178500,7
492826,2,00404729,16
496126,1,02222876,21
618490,2,00402862,22
614558,4,11715501,27
596905,1,03018680,17
798955,0,00403749,24
666315,4,00399875,18
582967,2,00415924,22
777224,3,00404341,25
145480,0,00399148,16
382457,5,00415558,31
395978,5,02127654,29
577302,0,00412843,21
437000,5,01171157,15
607119,4,00415558,25
600856,3,04016922,23
323841,5,00414932,3
705716,0,00399930,18
585949,5,11715496,23
381535,1,03010640,25
789815,5,00404042,8
597187,2,00403323,19
399441,5,11450268,22
431170,5,04375663,29
525306,4,04375675,16
865640,2,12235097,24
843611,1,01171066,36
420239,4,00401404,14
405296,2,00401349,26
553474,1,04871552,23
625251,3,00399344,22
601139,3,02105486,21
577341,3,00412879,16
709004,8,00399057,24
375042,5,05012448,19
798848,0,00404406,4
584190,0,00398730,23
188666,1,00397956,22
89033,1,02107094,8
637761,0,00408945,20
578248,5,00398895,21
224158,5,00415194,29
574718,4,11180554,6
504579,7,00399057,19
683223,2,00401959,27
588902,4,04757231,14
170889,5,00414279,13
614585,5,11715501,19
577176,2,11073781,21
592603,4,00401894,24
788314,6,02129157,22
808376,4,00400242,1
678019,2,11455115,17
503303,0,00415780,21
68469,5,11074876,23
595363,1,00403311,15
779120,3,02042652,18
777405,4,00404365,26
612740,0,00400084,20
704112,1,00413782,66
595245,1,00409107,44
649545,4,00404822,22
42111,4,01446976,37
437305,1,00415417,22
391855,3,10974364,13
284599,2,00413598,3
843904,5,01171066,19
612937,3,00401777,16
597552,4,00399966,16
25926,1,02126313,2
732446,3,11926413,27
614601,0,04286517,23
801763,2,01845657,29
383792,1,01170842,15
486080,1,02042652,24
778744,3,11828988,15
270627,4,00400278,22
586067,5,00399411,25
809964,0,12366127,24
649880,0,01170892,22
614586,3,11715501,16
559582,2,00399655,90
417462,3,00403921,63
303874,6,11128441,31
175950,2,00399538,6
625059,1,00399344,20
593495,5,00400931,21
742668,11,04753170,11
703887,2,11450268,19
161116,3,00415376,3
723287,3,01171107,21
625219,0,00399344,21
574568,3,11180542,21
535710,4,10914041,31
630708,5,01808740,20
228259,-1,00401442,20
679894,2,00404676,21
405561,3,00400527,21
37988,4,01170854,23
739858,1,00412647,46
588811,1,00413354,15
399526,4,02163153,19
583041,5,00415924,24
789673,3,02222864,18
463555,2,00414956,17
405700,2,11128465,26
649885,2,00402903,20
799110,0,02845894,20
798959,0,12108470,18
585921,2,03008427,17
619880,5,00414279,29
600626,3,00400931,20
368167,4,00415388,25
720985,2,00415601,1
604965,1,00411655,18
571732,5,11078597,22
495613,4,00416021,22
594049,5,00406894,19
600311,1,00415261,22
680656,3,00414152,23
584048,4,12044745,23
778807,4,12368876,30
345920,5,11832707,81
687167,4,00413861,57
518634,3,03246318,23
524408,5,00404822,23
602270,3,00411057,27
789587,1,00404119,19
775871,5,00403763,24
390509,2,00410118,23
533789,3,11128453,25
619865,1,00400242,25
592861,3,00409107,22
535316,1,11128037,23
674120,1,00399148,5
575501,3,11832707,57
471694,3,00407915,28
799085,0,00404145,26
685863,0,03054828,21
840501,1,00411813,15
634324,1,00401820,15
511176,3,00414932,35
583001,4,00415924,25
649550,3,00404822,15
460016,5,00411849,18
518910,4,01845619,11
55115,0,00404690,16
170767,2,00398106,24
463354,1,04287004,9
239759,3,00412439,24
385239,5,01171054,2
840642,2,01171107,23
397772,3,04946004,66
785461,0,00398455,20
418836,1,00410596,19
596679,0,01170842,18
625168,7,00399344,13
774484,2,00410118,21
778645,2,12163951,32
511051,2,00411837,21
798856,0,02222876,10
560176,4,00414176,95
798849,-1,00404406,21
593903,5,00398704,21
799364,-1,03007071,13
398690,3,00410170,26
390013,3,00411136,23
799088,0,02042652,20
606467,5,01171054,24
391632,5,00406894,47
102142,1,02177178,23
640849,4,04741971,17
528605,5,00410326,103
369271,0,00415417,21
373770,1,00415754,15
617430,3,12044501,71
573320,-1,11550789,20
742522,8,04753170,14
296439,4,00399667,47
750147,3,00410326,29
600609,1,00400929,23
735867,4,00398156,33
738906,3,02222876,13
789832,5,11926413,27
585859,5,00413926,8
375913,4,00397865,24
781503,0,04286505,15
208608,1,00404614,22
656744,1,00406272,21
636996,3,12161044,32
584154,5,12310221,23
614590,4,11715501,28
390153,3,00415510,26
593286,2,00404638,22
592774,5,12106006,22
619623,5,00406210,20
583033,5,00415924,27
778543,5,00403751,19
605430,0,00411655,27
717797,0,00414114,23
569171,5,11448124,23
560388,3,00411277,61
471926,2,00410974,23
789606,4,01808697,19
26073,3,00404872,1
576858,2,00414956,15
621266,2,02226509,23
790420,5,11926425,44
245486,5,00411239,26
382486,4,00401428,23
587455,3,00406313,14
574272,3,00412063,17
738447,6,00398871,10
700308,0,00409298,19
601766,3,00415986,24
185732,5,00413665,29
577299,3,00412805,14
673159,5,00406739,21
772212,2,00405888,24
381327,0,00406143,19
153412,3,02126313,2
595392,3,00403311,19
617134,5,00410182,19
626508,4,00397918,30
488081,5,03007069,34
111736,4,00403361,25
633225,3,00414803,19
335749,4,00401595,14
753803,4,00401583,24
779689,2,00403971,5
509095,1,00410974,20
468994,2,00397944,40
414529,2,11830826,7
596719,3,03008427,19
587162,4,00413641,25
54947,1,02177178,21
777112,1,00404494,19
160258,4,00402836,26
336577,2,00404250,49
692566,6,00413782,26
776005,5,00403830,21
582890,2,00415924,22
577066,4,00398235,26
583100,4,00415924,18
58068,1,02903393,22
723706,5,00404468,13
753246,0,00399150,21
593488,4,00400852,20
789716,5,00403995,30
614580,5,11715501,22
575482,5,11550789,29
471710,4,00400137,3
43142,3,11456078,26
504061,2,00413823,19
449422,5,02226509,25
739874,1,05231357,20
39494,4,01533672,44
774557,0,00410132,22
616789,8,00405931,5
474231,2,01845750,21
635456,5,03018680,12
789266,4,11926413,57
595372,5,00403311,17
450207,1,02109511,19
369265,5,11548956,21
513397,4,00399590,14
398265,2,00404145,26
638500,4,00405125,20
753352,0,03050482,15
386791,0,00415417,15
463886,2,00401351,27
346474,3,04017445,20
799377,-1,00403969,18
143449,2,00414231,7
692530,6,00413782,27
584080,1,02105565,18
798877,0,03018680,21
789835,4,11926413,29
382976,5,11832707,65
607396,5,02226509,25
718201,3,00398508,22
630288,4,00406313,21
838782,3,00401090,40
445447,5,00403115,24
705977,5,00408127,12
1544,5,03246318,60
787125,3,00412271,1
625096,5,00399344,20
402384,1,00398352,23
588809,0,00413330,15
145472,0,03050482,20
804614,0,11450270,16
593978,2,00399760,23
495367,2,00404987,1
562058,4,12313211,13
556723,4,00404884,19
603528,5,00400462,17
789732,2,00404236,20
758357,5,00415077,21
629042,3,10914144,40
577383,2,00413079,17
614543,0,04286517,22
223252,0,00398998,18
590834,3,00412477,23
709847,2,00410857,11
578595,3,11452448,22
618581,1,00410041,21
168019,2,00412427,15
556720,1,00404884,16
775951,4,00403830,26
567172,2,11452383,25
431639,1,01171004,21
402725,4,00413897,22
757611,1,00399772,25
558624,2,12044745,18
345916,1,11832707,84
662128,5,00399356,23
742903,5,00399473,21
382273,2,00404949,22
605492,1,11832692,24
2394,5,00398649,12
713210,0,00410118,20
579780,7,02129157,17
470948,4,00410170,14
578100,1,10914247,26
515906,3,00397798,17
620180,2,00408945,22
308617,1,02177178,21
553088,4,00411162,22
686943,4,00413861,27
597227,5,00411409,15
791973,3,11452383,21
812319,1,00402082,1
580293,5,00399203,34
667395,4,00414255,19
366965,5,01170957,22
420715,1,00397700,16
743173,5,05231357,19
601148,0,00413031,24
636830,3,00401351,24
669619,5,10030592,7
398724,6,00414279,28
739471,5,12317114,22
775806,2,00403763,20
558618,4,00401557,13
654266,4,00400670,16
595412,4,02199499,20
577082,5,00398259,15
475128,6,00399459,21
577318,2,01345619,9
368202,4,02845894,17
511976,4,03010664,28
438853,5,00399980,15
476360,5,03010664,40
529508,3,00398508,21
509535,4,01170854,24
582064,5,03051084,28
582282,3,00399356,27
865649,2,12235097,24
799086,-1,00404145,17
666714,2,00404705,5
798803,0,00404341,22
721983,0,02178495,16
779833,0,04286505,22
778284,5,00404200,21
776385,3,00403749,16
612741,5,00400084,22
691332,6,00400747,69
701153,0,00406090,18
601124,2,00412996,21
467583,2,00413304,19
590679,6,11128465,30
614913,3,12044745,23
685862,0,01533672,22
418492,2,00401246,15
716276,2,00406961,17
585763,3,00413770,21
451954,5,00415493,23
674151,5,03248392,54
494189,8,04807173,15
95983,2,00401648,17
723137,5,00403737,26
585739,1,00413665,15
221195,5,00414279,25
475359,5,00406648,12
469113,2,00399564,22
798107,4,11078597,23
703365,0,00404822,12
595829,1,00406961,22
660370,4,02107094,25
678807,3,12313211,25
487512,4,00400400,29
735914,1,00415508,37
684731,4,00414188,23
641063,3,00403660,20
583039,5,00415924,24
312133,3,00411899,19
799261,0,00404200,10
774384,3,00410041,6
371782,2,01171107,22
62884,5,00402886,1
625027,2,00399344,22
704902,2,11832692,1
606921,3,00409884,19
581981,1,02226509,25
83929,4,01170971,9
603195,2,02222876,10
809136,0,03011993,23
776115,4,00403921,22
204767,5,00412245,3
709899,1,00413718,15
715760,2,00404884,21
626421,1,00402862,22
395928,1,00415479,27
577117,5,00398807,23
630176,5,00413897,16
395772,1,00397774,18
157109,3,00399617,16
381387,3,00406090,18
492820,5,00413627,27
618619,2,00404377,21
636660,1,01171054,22
298680,4,00406923,20
13832,2,03251351,19
789670,2,02222864,23
614603,5,11715501,17
441785,1,03243598,23
822903,1,00412312,17
415493,0,11930737,15
600738,4,00413598,15
742667,9,04753170,9
170923,5,03008427,15
714276,5,00397906,23
212560,4,00401820,23
573313,5,00411655,20
834277,1,00404999,21
582313,5,00399150,25
699247,3,00402161,24
583002,4,00415924,15
625962,4,00403115,14
482474,5,00402123,25
709780,2,00399825,22
601333,4,00411007,18
571720,3,11078597,24
486693,2,11927467,25
618443,2,00397798,17
799369,-1,00403763,19
230103,5,01524542,22
600592,2,00400888,15
583977,4,12037912,16
579796,6,02129157,20
790484,4,00404107,1
383365,5,00401404,18
612634,4,00410338,20
830343,-1,00403969,18
582970,2,00415924,23
600584,5,00400888,15
501658,0,00401820,21
382992,5,11078597,22
627537,3,00414229,31
871503,5,11452383,54
639321,3,00414138,22
619654,1,04946004,26
798765,0,00403799,22
451952,3,00399203,24
718127,4,12163975,26
569160,3,11448124,22
612950,2,00406208,23
772451,2,05110208,23
790050,4,00404016,22
371788,3,00415522,27
252904,3,00399007,16
485450,3,11715513,23
579822,7,00398900,29
606463,5,00404250,19
636992,5,12161044,29
577328,2,00412855,16
576085,4,00400345,18
640358,2,12162050,27
392922,5,00410510,29
268800,5,00402082,45
625199,6,00399344,28
445832,0,00400553,22
614578,3,11715501,22
398327,2,00404872,10
618503,5,00411758,33
533111,2,00404676,17
583588,4,00399617,24
423792,5,05110208,30
754916,-1,00415106,20
626575,3,00402941,23
774405,2,00410118,23
596764,1,00398883,19
778992,5,02222864,18
750286,3,00412271,18
612173,5,00415493,30
518702,2,01808685,22
783767,5,11452383,46
685858,0,00403232,20
503585,3,00403799,19
617087,2,00404846,47
271852,3,00414229,11
235805,1,00401442,24
497873,3,00401868,24
38716,1,00401442,3
415488,6,00414279,29
606238,1,11832692,24
625257,0,00399344,21
857830,3,00414011,10
751918,3,00410754,24
398263,2,00404626,8
195878,3,02042602,21
394868,2,00409262,1
614542,2,04286517,19
702393,0,03420124,24
392910,3,00410376,65
308456,5,11078597,11
311635,2,00397932,11
666032,4,00397956,14
581896,5,00399679,25
373860,4,00415601,29
774121,6,00410170,23
231271,4,02107094,5
454256,2,01252555,20
700024,0,03420124,23
595894,1,00398998,26
157738,4,00403311,44
612722,2,00400084,21
372868,2,00413225,26
580219,2,00399198,26
772547,1,05110208,25
804152,1,00401375,46
777683,5,00404250,27
447753,0,12038136,28
399575,4,02163153,18
626979,5,00406739,23
577712,1,03011993,25
789912,2,00403737,24
245594,1,00398651,22
789766,3,00403725,26
589782,3,00398974,22
430135,4,00414229,32
400936,3,00406600,22
393442,6,00398376,74
676951,5,00402719,15
206931,2,00397815,22
649888,3,00402903,46
265009,0,12044745,10
656119,3,00413847,21
799124,-1,00403749,44
527641,0,00398417,56
577225,5,00398754,12
799384,0,00404250,20
191639,2,00397700,17
419551,3,00400553,16
600610,0,00400929,20
594212,4,00399083,27
408064,1,00401349,27
594565,2,11926413,27
725470,5,02906993,29
708281,5,00414803,27
798929,0,02222864,15
704346,4,00406947,23
445968,4,00414229,20
742317,0,00397762,22
67031,3,00412594,20
387318,6,00399655,12
843253,2,01556246,19
658786,5,00407915,1
638649,7,00398948,14
318719,2,00399459,12
681668,2,03011993,26
527110,3,03008415,4
86055,3,00410950,1
57251,2,00404987,23
758340,4,11450359,23
586119,2,00399588,22
117119,3,03054828,22
780576,1,00412257,22
798449,2,00413847,1
449668,2,00400395,23
540646,1,00398106,15
777087,2,00404494,13
623810,1,00405905,16
778604,4,00404468,31
79695,2,02107094,25
594134,3,00406997,21
817200,3,00398558,24
200778,3,00398077,24
380295,5,11078597,24
781958,2,00412257,17
778399,4,03018680,21
674620,4,00400151,8
297253,5,00416045,29
724095,2,00403830,19
586152,1,00399588,19
799271,0,00404121,25
16214,2,02126313,29
487744,5,00411069,29
689654,5,11450359,7
605772,1,11832692,22
774707,4,00410144,12
126117,1,00410118,22
530656,0,11450282,23
778390,1,03018680,26
595637,5,00398053,23
609147,5,00413861,35
774777,2,00410144,22
478776,4,00413665,17
600699,0,00413500,17
712067,5,02892263,30
466922,2,03010640,19
380920,3,00397865,21
502617,3,12043416,10
198196,4,00401507,18
487752,1,00401961,18
206481,4,11450268,21
753244,0,00399150,20
412871,5,00408127,13
434257,5,00402898,24
495022,3,10030542,17
742563,6,04753170,17
