MDR School ID,NCES ID,School Name,District Rollup ID,District Rollup Name,Demographics - Poverty Level,Demographics - Zipcode Median Income,Grades Covered - Low Grade,Grades Covered - High Grade,Is Charter (Yes / No),MDR School has School Account (Yes / No),School Address - City,School Address - County,School Address - State,School Address - Zipcode
00412738,220156001174,CANKTON ELEMENTARY SCHOOL,00412702,ST LANDRY PARISH SCH DIST,40-75% (Mid-High),"$45K-47,999",,4,No,Yes,Cankton,St Landry,LA,70584
00401442,220054000376,GLEN OAKS PARK ELEM SCHOOL,00401064,EAST BATON ROUGE PARISH SD,75%+ (High),"$43K-44,999",,5,No,Yes,Baton Rouge,East Baton Rouge,LA,70812
00404236,220084000629,LINCOLN ELEMENTARY SCHOOL ARTS,00403713,JEFFERSON PARISH PUB SCH DIST,75%+ (High),"$48K-51,999",,8,No,Yes,Marrero,Jefferson,LA,70072
01398484,220165001267,BONNE ECOLE ELEMENTARY SCHOOL,00413639,ST TAMMANY PARISH SCH DISTRICT,40-75% (Mid-High),"$60K-64,999",,6,No,Yes,Slidell,St Tammany,LA,70458
00401959,220054000425,SHARON HILLS ELEMENTARY SCHOOL,00401064,EAST BATON ROUGE PARISH SD,75%+ (High),"$48K-51,999",,5,No,Yes,Baton Rouge,East Baton Rouge,LA,70811
03012002,220027001870,STOCKWELL PLACE ELEMENTARY SCH,00398687,BOSSIER PARISH SCHOOL DIST,0-40% (Low),"$48K-51,999",,5,No,Yes,Bossier City,Bossier,LA,71111
00398821,220027000126,GREENACRES MIDDLE SCHOOL,00398687,BOSSIER PARISH SCHOOL DIST,40-75% (Mid-High),"$48K-51,999",6,8,No,Yes,Bossier City,Bossier,LA,71111
04286505,220165000384,CYPRESS COVE ELEMENTARY SCHOOL,00413639,ST TAMMANY PARISH SCH DISTRICT,40-75% (Mid-High),"$65K-69,999",,1,No,No,Slidell,St Tammany,LA,70461
00408127,220024302362,PAUL HABANS CHARTER SCHOOL,11930816,CRESCENT CITY SCHOOLS,40-75% (Mid-High),"$28K-31,999",,8,Yes,Yes,New Orleans,Orleans,LA,70114
00400046,220033000240,M J KAUFMAN ELEMENTARY SCHOOL,00399722,CALCASIEU PARISH PUBLIC SCH,40-75% (Mid-High),"$45K-47,999",,5,No,No,Lake Charles,Calcasieu,LA,70607
00400307,220033000269,VINTON ELEMENTARY SCHOOL,00399722,CALCASIEU PARISH PUBLIC SCH,40-75% (Mid-High),"$55K-59,999",,5,No,No,Vinton,Calcasieu,LA,70668
00415510,220189001440,CENTRAL ELEMENTARY SCHOOL,00415481,WEBSTER PARISH SCHOOL DIST,40-75% (Mid-High),"$28K-31,999",,5,No,Yes,Dubberly,Webster,LA,71024
00415508,220189001433,BROWNING ELEMENTARY SCHOOL,00415481,WEBSTER PARISH SCHOOL DIST,40-75% (Mid-High),"$28K-31,999",,2,No,Yes,Springhill,Webster,LA,71075
00401894,220054000421,RYAN ELEMENTARY SCHOOL,00401064,EAST BATON ROUGE PARISH SD,75%+ (High),"$32K-34,999",,5,No,Yes,Baton Rouge,East Baton Rouge,LA,70807
01171028,220174001355,LEGION PARK ELEMENTARY SCHOOL,00414384,TERREBONNE PARISH SCHOOL DIST,40-75% (Mid-High),"$45K-47,999",,6,No,No,Houma,Terrebonne,LA,70364
00412245,220144001144,LULING ELEMENTARY SCHOOL,00412154,ST CHARLES PARISH PUBLIC SD,75%+ (High),"$81K-93,999",,5,No,No,Luling,St Charles,LA,70070
00407915,220022000946,HARRIET TUBMAN CHARTER SCHOOL,11930816,CRESCENT CITY SCHOOLS,40-75% (Mid-High),"$28K-31,999",,8,Yes,No,New Orleans,Orleans,LA,70114
00403397,220072000532,PESSON ELEMENTARY SCHOOL,00403139,IBERIA PARISH SCHOOL DISTRICT,75%+ (High),"$35K-36,999",,6,No,No,New Iberia,Iberia,LA,70560
12369351,,MARTIAL BILLEAUD ELEM SCHOOL,00404755,LAFAYETTE PARISH SCH DISTRICT,,"$65K-69,999",,5,No,Yes,Broussard,Lafayette,LA,70518
00401272,220054000360,CAPITOL MIDDLE SCHOOL,00401064,EAST BATON ROUGE PARISH SD,75%+ (High),"$43K-44,999",6,8,No,Yes,Baton Rouge,East Baton Rouge,LA,70806
00402331,,MATER DOLOROSA SCHOOL,00402226,DIOCESE OF BATON ROUGE ED OFF,,"$39K-40,999",,8,No,No,Independence,Tangipahoa,LA,70443
11453193,220054002265,WOODLAWN ELEMENTARY SCHOOL,00401064,EAST BATON ROUGE PARISH SD,40-75% (Mid-High),$94K+,,5,No,Yes,Baton Rouge,East Baton Rouge,LA,70817
01170983,220174001350,GRAND CAILLOU ELEM SCHOOL,00414384,TERREBONNE PARISH SCHOOL DIST,40-75% (Mid-High),"$28K-31,999",,4,No,No,Houma,Terrebonne,LA,70363
00401595,220054000392,LASALLE ELEMENTARY SCHOOL,00401064,EAST BATON ROUGE PARISH SD,40-75% (Mid-High),"$43K-44,999",,5,No,Yes,Baton Rouge,East Baton Rouge,LA,70806
11222580,,FAMILY WORSHIP CHRN ACADEMY,,,,"$32K-34,999",,12,No,No,Opelousas,St Landry,LA,70570
04992039,,BRIGHTER HORIZON SCHOOL,,,,"$43K-44,999",,12,No,No,Baton Rouge,East Baton Rouge,LA,70806
01171107,220174001365,SCHRIEVER ELEMENTARY SCHOOL,00414384,TERREBONNE PARISH SCHOOL DIST,40-75% (Mid-High),"$41K-42,999",,3,No,No,Schriever,Terrebonne,LA,70395
00399708,,ST MARK'S CATHEDRAL SCHOOL,,,,"$35K-36,999",,8,No,No,Shreveport,Caddo,LA,71104
11452448,220021202278,ARISE ACADEMY,00407068,ORLEANS PARISH SCHOOL DISTRICT,75%+ (High),"$28K-31,999",,8,Yes,Yes,New Orleans,Orleans,LA,70117
00413354,220162001234,BAYOU VISTA ELEMENTARY SCHOOL,00413328,ST MARY PARISH SCHOOL DISTRICT,40-75% (Mid-High),"$39K-40,999",,5,No,Yes,Morgan City,St Mary,LA,70380
01171004,220174001352,HONDURAS ELEMENTARY SCHOOL,00414384,TERREBONNE PARISH SCHOOL DIST,40-75% (Mid-High),"$28K-31,999",,4,No,No,Houma,Terrebonne,LA,70363
00399124,220030000153,CHEROKEE PARK ELEM SCHOOL,00398962,CADDO PARISH PUBLIC SCHOOLS,75%+ (High),"$32K-34,999",,6,No,Yes,Shreveport,Caddo,LA,71107
00401193,220054000352,BERNARD TERRACE ELEM SCHOOL,00401064,EAST BATON ROUGE PARISH SD,75%+ (High),"$43K-44,999",,5,No,Yes,Baton Rouge,East Baton Rouge,LA,70806
00402953,220066000487,GILBERT SCHOOL,00402915,FRANKLIN PARISH SCHOOL DIST,40-75% (Mid-High),"$35K-36,999",,8,No,Yes,Gilbert,Franklin,LA,71336
00415754,220192001459,CANEVIEW K-8 SCHOOL,00415730,WEST BATON ROUGE PARISH SD,40-75% (Mid-High),"$60K-64,999",,8,No,Yes,Port Allen,West Baton Rouge,LA,70767
00410065,220108000788,CARROLL JUNIOR HIGH SCHOOL,00410027,MONROE CITY SCHOOL DISTRICT,75%+ (High),"$48K-51,999",7,8,No,No,Monroe,Ouachita,LA,71201
00401727,220003900406,NORTHWESTERN MIDDLE SCHOOL,05256917,ZACHARY COMMUNITY SCHOOL DIST,40-75% (Mid-High),"$70K-80,999",7,8,No,No,Zachary,East Baton Rouge,LA,70791
00407020,220114000841,PROVENCAL ELEM JUNIOR HIGH SCH,00406820,NATCHITOCHES PARISH SCH DIST,40-75% (Mid-High),"$45K-47,999",,8,No,Yes,Provencal,Natchitoches,LA,71468
00412257,220144001146,MIMOSA PARK ELEMENTARY SCHOOL,00412154,ST CHARLES PARISH PUBLIC SD,0-40% (Low),"$81K-93,999",,2,No,No,Luling,St Charles,LA,70070
00415493,220189001432,BROWN UPPER ELEMENTARY SCHOOL,00415481,WEBSTER PARISH SCHOOL DIST,40-75% (Mid-High),"$28K-31,999",3,5,No,Yes,Springhill,Webster,LA,71075
04880151,,ST BENEDICT THE MOOR SCHOOL,00408658,ARCHDIOCESE NEW ORLEANS ED OFF,,"$1–27,999",,4,No,No,New Orleans,Orleans,LA,70126
00411083,220129001063,NORTH BAYOU ELEMENTARY SCHOOL,00410766,RAPIDES PARISH SCHOOL DISTRICT,75%+ (High),"$48K-51,999",1,3,No,No,Alexandria,Rapides,LA,71303
00400436,220036000282,CALDWELL PARISH JR HIGH SCHOOL,00400412,CALDWELL PARISH SCHOOL DIST,40-75% (Mid-High),"$32K-34,999",6,8,No,No,Columbia,Caldwell,LA,71418
00398089,220009000040,GONZALES MIDDLE SCHOOL,00398027,ASCENSION PARISH SCHOOLS,40-75% (Mid-High),"$70K-80,999",6,8,No,No,Gonzales,Ascension,LA,70737
02846707,220102000754,ALBANY LOWER ELEMENTARY SCHOOL,00406325,LIVINGSTON PARISH PUB SCHOOLS,0-40% (Low),"$52K-54,999",,2,No,No,Albany,Livingston,LA,70711
00406961,220114001617,L P VAUGHN ELEMENTARY SCHOOL,00406820,NATCHITOCHES PARISH SCH DIST,40-75% (Mid-High),"$28K-31,999",,2,No,Yes,Natchitoches,Natchitoches,LA,71457
00415223,220183001418,WEST LEESVILLE ELEM SCHOOL,00415089,VERNON PARISH SCHOOL DISTRICT,40-75% (Mid-High),"$48K-51,999",2,4,No,Yes,Leesville,Vernon,LA,71446
01171119,220174001366,SOUTHDOWN ELEMENTARY SCHOOL,00414384,TERREBONNE PARISH SCHOOL DIST,40-75% (Mid-High),"$55K-59,999",,6,No,No,Houma,Terrebonne,LA,70360
00409262,,ST ALPHONSUS SCHOOL,00408658,ARCHDIOCESE NEW ORLEANS ED OFF,,"$60K-64,999",,7,No,No,New Orleans,Orleans,LA,70130
02105436,220033001506,RALPH WILSON ELEMENTARY SCHOOL,00399722,CALCASIEU PARISH PUBLIC SCH,75%+ (High),"$37K-38,999",3,5,No,No,Lake Charles,Calcasieu,LA,70601
